"id","gregorian_date","hijri_date","city_id","fajr","sunrise","dhuhr","asr","maghrib","ishaa"
23,"2025-04-05","6 شوال 1445",23,"04:24:00","05:53:00","12:23:00","15:54:00","18:45:00","20:03:00"
24,"2025-04-05","6 شوال 1445",24,"04:28:00","05:57:00","12:29:00","16:00:00","18:52:00","20:09:00"
25,"2025-04-05","6 شوال 1445",25,"04:28:00","05:58:00","12:29:00","16:00:00","18:51:00","20:09:00"
26,"2025-04-05","6 شوال 1445",26,"04:27:00","05:56:00","12:26:00","15:57:00","18:48:00","20:05:00"
27,"2025-04-05","6 شوال 1445",27,"04:28:00","05:58:00","12:28:00","15:59:00","18:49:00","20:08:00"
28,"2025-04-05","6 شوال 1445",28,"04:28:00","05:54:00","12:27:00","15:58:00","18:51:00","20:06:00"
29,"2025-04-05","6 شوال 1445",29,"04:31:00","05:58:00","12:30:00","16:01:00","18:53:00","20:08:00"
30,"2025-04-05","6 شوال 1445",30,"04:24:00","05:51:00","12:22:00","15:53:00","18:44:00","20:00:00"
31,"2025-04-05","6 شوال 1445",31,"04:17:00","05:44:00","12:15:00","15:46:00","18:38:00","19:54:00"
32,"2025-04-05","6 شوال 1445",32,"04:18:00","05:47:00","12:17:00","15:48:00","18:38:00","19:56:00"
33,"2025-04-05","6 شوال 1445",33,"04:19:00","05:42:00","12:13:00","15:42:00","18:34:00","19:46:00"
34,"2025-04-05","6 شوال 1445",34,"04:21:00","05:45:00","12:15:00","15:45:00","18:37:00","19:50:00"
35,"2025-04-05","6 شوال 1445",35,"04:24:00","05:51:00","12:21:00","15:52:00","18:43:00","19:58:00"
36,"2025-04-05","6 شوال 1445",36,"04:19:00","05:44:00","12:16:00","15:47:00","18:40:00","19:54:00"
37,"2025-04-05","6 شوال 1445",37,"04:24:00","05:47:00","12:18:00","15:47:00","18:39:00","19:52:00"
38,"2025-04-05","6 شوال 1445",38,"04:21:00","05:47:00","12:19:00","15:50:00","18:42:00","19:57:00"
39,"2025-04-05","6 شوال 1445",39,"04:20:00","05:49:00","12:19:00","15:50:00","18:41:00","19:58:00"
40,"2025-04-05","6 شوال 1445",40,"04:20:00","05:50:00","12:19:00","15:50:00","18:40:00","19:59:00"
41,"2025-04-05","6 شوال 1445",41,"04:23:00","05:48:00","12:20:00","15:50:00","18:43:00","19:57:00"
42,"2025-04-05","6 شوال 1445",42,"04:20:00","05:49:00","12:19:00","15:50:00","18:41:00","19:58:00"
43,"2025-04-05","6 شوال 1445",43,"04:20:00","05:49:00","12:19:00","15:50:00","18:41:00","19:59:00"
44,"2025-04-05","6 شوال 1445",44,"04:20:00","05:49:00","12:20:00","15:50:00","18:41:00","19:59:00"
45,"2025-04-05","6 شوال 1445",45,"04:27:00","05:50:00","12:21:00","15:51:00","18:44:00","19:56:00"
46,"2025-04-05","6 شوال 1445",46,"04:20:00","05:43:00","12:16:00","15:45:00","18:39:00","19:51:00"
47,"2025-04-05","6 شوال 1445",47,"04:20:00","05:46:00","12:18:00","15:48:00","18:40:00","19:56:00"
48,"2025-04-05","6 شوال 1445",48,"04:17:00","05:44:00","12:16:00","15:46:00","18:38:00","19:54:00"
49,"2025-04-05","6 شوال 1445",49,"04:17:00","05:47:00","12:17:00","15:48:00","18:38:00","19:56:00"
50,"2025-04-05","6 شوال 1445",50,"04:18:00","05:48:00","12:17:00","15:48:00","18:38:00","19:56:00"
51,"2025-04-05","6 شوال 1445",51,"04:19:00","05:45:00","12:17:00","15:48:00","18:41:00","19:56:00"
52,"2025-04-05","6 شوال 1445",52,"04:18:00","05:44:00","12:16:00","15:47:00","18:40:00","19:55:00"
53,"2025-04-05","6 شوال 1445",53,"04:17:00","05:46:00","12:16:00","15:47:00","18:38:00","19:55:00"
54,"2025-04-05","6 شوال 1445",54,"04:20:00","05:47:00","12:18:00","15:49:00","18:41:00","19:57:00"
55,"2025-04-05","6 شوال 1445",55,"04:22:00","05:50:00","12:21:00","15:52:00","18:44:00","20:00:00"
